Datetime,Temprature,day_of_year,day_of_month,day_of_week,hour,kWh
2021-03-01 00:00:00,2,60,1,0,0,1800.0
2021-03-01 01:00:00,2,60,1,0,1,1960.0
2021-03-01 02:00:00,2,60,1,0,2,1800.0
2021-03-01 03:00:00,2,60,1,0,3,1900.0
2021-03-01 04:00:00,2,60,1,0,4,1790.0
2021-03-01 05:00:00,2,60,1,0,5,1830.0
2021-03-01 06:00:00,2,60,1,0,6,1840.0
2021-03-01 07:00:00,2,60,1,0,7,1980.0
2021-03-01 08:00:00,2,60,1,0,8,2110.0
2021-03-01 09:00:00,2,60,1,0,9,2140.0
2021-03-01 10:00:00,2,60,1,0,10,2020.0
2021-03-01 11:00:00,2,60,1,0,11,2080.0
2021-03-01 12:00:00,2,60,1,0,12,1890.0
2021-03-01 13:00:00,2,60,1,0,13,2020.0
2021-03-01 14:00:00,2,60,1,0,14,1860.0
2021-03-01 15:00:00,2,60,1,0,15,1920.0
2021-03-01 16:00:00,2,60,1,0,16,2260.0
2021-03-01 17:00:00,2,60,1,0,17,2040.0
2021-03-01 18:00:00,2,60,1,0,18,2550.0
2021-03-01 19:00:00,2,60,1,0,19,2580.0
2021-03-01 20:00:00,2,60,1,0,20,2440.0
2021-03-01 21:00:00,2,60,1,0,21,2440.0
2021-03-01 22:00:00,2,60,1,0,22,1990.0
2021-03-01 23:00:00,2,60,1,0,23,1900.0
2021-03-02 00:00:00,2,61,2,1,0,1960.0
2021-03-02 01:00:00,2,61,2,1,1,1950.0
2021-03-02 02:00:00,2,61,2,1,2,2030.0
2021-03-02 03:00:00,2,61,2,1,3,1960.0
2021-03-02 04:00:00,2,61,2,1,4,1930.0
2021-03-02 05:00:00,2,61,2,1,5,1900.0
2021-03-02 06:00:00,2,61,2,1,6,1860.0
2021-03-02 07:00:00,2,61,2,1,7,1950.0
2021-03-02 08:00:00,2,61,2,1,8,2020.0
2021-03-02 09:00:00,2,61,2,1,9,2200.0
2021-03-02 10:00:00,2,61,2,1,10,2840.0
2021-03-02 11:00:00,2,61,2,1,11,2150.0
2021-03-02 12:00:00,2,61,2,1,12,2320.0
2021-03-02 13:00:00,2,61,2,1,13,2070.0
2021-03-02 14:00:00,2,61,2,1,14,2270.0
2021-03-02 15:00:00,2,61,2,1,15,2040.0
2021-03-02 16:00:00,2,61,2,1,16,1950.0
2021-03-02 17:00:00,2,61,2,1,17,1960.0
2021-03-02 18:00:00,2,61,2,1,18,2540.0
2021-03-02 19:00:00,2,61,2,1,19,2700.0
2021-03-02 20:00:00,2,61,2,1,20,2440.0
2021-03-02 21:00:00,2,61,2,1,21,2170.0
2021-03-02 22:00:00,2,61,2,1,22,1870.0
2021-03-02 23:00:00,2,61,2,1,23,1940.0
2021-03-03 00:00:00,2,62,3,2,0,1930.0
2021-03-03 01:00:00,2,62,3,2,1,2060.0
2021-03-03 02:00:00,2,62,3,2,2,1920.0
2021-03-03 03:00:00,2,62,3,2,3,1920.0
2021-03-03 04:00:00,2,62,3,2,4,1750.0
2021-03-03 05:00:00,2,62,3,2,5,1520.0
2021-03-03 06:00:00,2,62,3,2,6,1610.0
2021-03-03 07:00:00,2,62,3,2,7,1980.0
2021-03-03 08:00:00,2,62,3,2,8,1910.0
2021-03-03 09:00:00,2,62,3,2,9,2040.0
2021-03-03 10:00:00,2,62,3,2,10,1930.0
2021-03-03 11:00:00,2,62,3,2,11,1670.0
2021-03-03 12:00:00,2,62,3,2,12,1950.0
2021-03-03 13:00:00,2,62,3,2,13,1970.0
2021-03-03 14:00:00,2,62,3,2,14,2010.0
2021-03-03 15:00:00,2,62,3,2,15,2010.0
2021-03-03 16:00:00,2,62,3,2,16,1830.0
2021-03-03 17:00:00,2,62,3,2,17,1910.0
2021-03-03 18:00:00,2,62,3,2,18,2320.0
2021-03-03 19:00:00,2,62,3,2,19,3070.0
2021-03-03 20:00:00,2,62,3,2,20,2980.0
2021-03-03 21:00:00,2,62,3,2,21,2400.0
2021-03-03 22:00:00,2,62,3,2,22,1820.0
2021-03-03 23:00:00,2,62,3,2,23,1910.0
2021-03-04 00:00:00,2,63,4,3,0,1960.0
2021-03-04 01:00:00,2,63,4,3,1,2010.0
2021-03-04 02:00:00,2,63,4,3,2,1950.0
2021-03-04 03:00:00,2,63,4,3,3,2140.0
2021-03-04 04:00:00,2,63,4,3,4,1730.0
2021-03-04 05:00:00,2,63,4,3,5,1370.0
2021-03-04 06:00:00,2,63,4,3,6,1430.0
2021-03-04 07:00:00,2,63,4,3,7,1590.0
2021-03-04 08:00:00,2,63,4,3,8,1780.0
2021-03-04 09:00:00,2,63,4,3,9,1820.0
2021-03-04 10:00:00,2,63,4,3,10,2480.0
2021-03-04 11:00:00,2,63,4,3,11,2450.0
2021-03-04 12:00:00,2,63,4,3,12,2000.0
2021-03-04 13:00:00,2,63,4,3,13,2060.0
2021-03-04 14:00:00,2,63,4,3,14,1800.0
2021-03-04 15:00:00,2,63,4,3,15,1790.0
2021-03-04 16:00:00,2,63,4,3,16,1740.0
2021-03-04 17:00:00,2,63,4,3,17,1650.0
2021-03-04 18:00:00,2,63,4,3,18,2180.0
2021-03-04 19:00:00,2,63,4,3,19,2420.0
2021-03-04 20:00:00,2,63,4,3,20,2130.0
2021-03-04 21:00:00,2,63,4,3,21,1820.0
2021-03-04 22:00:00,2,63,4,3,22,1580.0
2021-03-04 23:00:00,2,63,4,3,23,1880.0
2021-03-05 00:00:00,2,64,5,4,0,2020.0
2021-03-05 01:00:00,2,64,5,4,1,1990.0
2021-03-05 02:00:00,2,64,5,4,2,1740.0
2021-03-05 03:00:00,2,64,5,4,3,1740.0
2021-03-05 04:00:00,2,64,5,4,4,1570.0
2021-03-05 05:00:00,2,64,5,4,5,1290.0
2021-03-05 06:00:00,2,64,5,4,6,1380.0
2021-03-05 07:00:00,2,64,5,4,7,1500.0
2021-03-05 08:00:00,2,64,5,4,8,1520.0
2021-03-05 09:00:00,2,64,5,4,9,1820.0
2021-03-05 10:00:00,2,64,5,4,10,1650.0
2021-03-05 11:00:00,2,64,5,4,11,1640.0
2021-03-05 12:00:00,2,64,5,4,12,2040.0
2021-03-05 13:00:00,2,64,5,4,13,1860.0
2021-03-05 14:00:00,2,64,5,4,14,1700.0
2021-03-05 15:00:00,2,64,5,4,15,1760.0
2021-03-05 16:00:00,2,64,5,4,16,1710.0
2021-03-05 17:00:00,2,64,5,4,17,1620.0
2021-03-05 18:00:00,2,64,5,4,18,2250.0
2021-03-05 19:00:00,2,64,5,4,19,2270.0
2021-03-05 20:00:00,2,64,5,4,20,2150.0
2021-03-05 21:00:00,2,64,5,4,21,1870.0
2021-03-05 22:00:00,2,64,5,4,22,1800.0
2021-03-05 23:00:00,2,64,5,4,23,1820.0
2021-03-06 00:00:00,2,65,6,5,0,2000.0
2021-03-06 01:00:00,2,65,6,5,1,2040.0
2021-03-06 02:00:00,2,65,6,5,2,1860.0
2021-03-06 03:00:00,2,65,6,5,3,1720.0
2021-03-06 04:00:00,2,65,6,5,4,1560.0
2021-03-06 05:00:00,2,65,6,5,5,1310.0
2021-03-06 06:00:00,2,65,6,5,6,1400.0
2021-03-06 07:00:00,2,65,6,5,7,1460.0
2021-03-06 08:00:00,2,65,6,5,8,1780.0
2021-03-06 09:00:00,2,65,6,5,9,1610.0
2021-03-06 10:00:00,2,65,6,5,10,1940.0
2021-03-06 11:00:00,2,65,6,5,11,2190.0
2021-03-06 12:00:00,2,65,6,5,12,1890.0
2021-03-06 13:00:00,2,65,6,5,13,1870.0
2021-03-06 14:00:00,2,65,6,5,14,1930.0
2021-03-06 15:00:00,2,65,6,5,15,1810.0
2021-03-06 16:00:00,2,65,6,5,16,1550.0
2021-03-06 17:00:00,2,65,6,5,17,1620.0
2021-03-06 18:00:00,2,65,6,5,18,2390.0
2021-03-06 19:00:00,2,65,6,5,19,2100.0
2021-03-06 20:00:00,2,65,6,5,20,1990.0
2021-03-06 21:00:00,2,65,6,5,21,2030.0
2021-03-06 22:00:00,2,65,6,5,22,1890.0
2021-03-06 23:00:00,2,65,6,5,23,1900.0
2021-03-07 00:00:00,2,66,7,6,0,1920.0
2021-03-07 01:00:00,2,66,7,6,1,1830.0
2021-03-07 02:00:00,2,66,7,6,2,1700.0
2021-03-07 03:00:00,2,66,7,6,3,1670.0
2021-03-07 04:00:00,2,66,7,6,4,1480.0
2021-03-07 05:00:00,2,66,7,6,5,1260.0
2021-03-07 06:00:00,2,66,7,6,6,1260.0
2021-03-07 07:00:00,2,66,7,6,7,1590.0
2021-03-07 08:00:00,2,66,7,6,8,1480.0
2021-03-07 09:00:00,2,66,7,6,9,1690.0
2021-03-07 10:00:00,2,66,7,6,10,2120.0
2021-03-07 11:00:00,2,66,7,6,11,2330.0
2021-03-07 12:00:00,2,66,7,6,12,2330.0
2021-03-07 13:00:00,2,66,7,6,13,2450.0
2021-03-07 14:00:00,2,66,7,6,14,2200.0
2021-03-07 15:00:00,2,66,7,6,15,1830.0
2021-03-07 16:00:00,2,66,7,6,16,2020.0
2021-03-07 17:00:00,2,66,7,6,17,1860.0
2021-03-07 18:00:00,2,66,7,6,18,2000.0
2021-03-07 19:00:00,2,66,7,6,19,2760.0
2021-03-07 20:00:00,2,66,7,6,20,2950.0
2021-03-07 21:00:00,2,66,7,6,21,2640.0
2021-03-07 22:00:00,2,66,7,6,22,1670.0
2021-03-07 23:00:00,2,66,7,6,23,1860.0
2021-03-08 00:00:00,2,67,8,0,0,1970.0
2021-03-08 01:00:00,2,67,8,0,1,2000.0
2021-03-08 02:00:00,2,67,8,0,2,1800.0
2021-03-08 03:00:00,2,67,8,0,3,1680.0
2021-03-08 04:00:00,2,67,8,0,4,1530.0
2021-03-08 05:00:00,2,67,8,0,5,1330.0
2021-03-08 06:00:00,2,67,8,0,6,1360.0
2021-03-08 07:00:00,2,67,8,0,7,1500.0
2021-03-08 08:00:00,2,67,8,0,8,1690.0
2021-03-08 09:00:00,2,67,8,0,9,1940.0
2021-03-08 10:00:00,2,67,8,0,10,1930.0
2021-03-08 11:00:00,2,67,8,0,11,1860.0
2021-03-08 12:00:00,2,67,8,0,12,1840.0
2021-03-08 13:00:00,2,67,8,0,13,2200.0
2021-03-08 14:00:00,2,67,8,0,14,1900.0
2021-03-08 15:00:00,2,67,8,0,15,1890.0
2021-03-08 16:00:00,2,67,8,0,16,1910.0
2021-03-08 17:00:00,2,67,8,0,17,1790.0
2021-03-08 18:00:00,2,67,8,0,18,1820.0
2021-03-08 19:00:00,2,67,8,0,19,1730.0
2021-03-08 20:00:00,2,67,8,0,20,1940.0
2021-03-08 21:00:00,2,67,8,0,21,2100.0
2021-03-08 22:00:00,2,67,8,0,22,2090.0
2021-03-08 23:00:00,2,67,8,0,23,1990.0
2021-03-09 00:00:00,2,68,9,1,0,1950.0
2021-03-09 01:00:00,2,68,9,1,1,2020.0
2021-03-09 02:00:00,2,68,9,1,2,1980.0
2021-03-09 03:00:00,2,68,9,1,3,1920.0
2021-03-09 04:00:00,2,68,9,1,4,1630.0
2021-03-09 05:00:00,2,68,9,1,5,1380.0
2021-03-09 06:00:00,2,68,9,1,6,1410.0
2021-03-09 07:00:00,2,68,9,1,7,1560.0
2021-03-09 08:00:00,2,68,9,1,8,1730.0
2021-03-09 09:00:00,2,68,9,1,9,1960.0
2021-03-09 10:00:00,2,68,9,1,10,1780.0
2021-03-09 11:00:00,2,68,9,1,11,2310.0
2021-03-09 12:00:00,2,68,9,1,12,1890.0
2021-03-09 13:00:00,2,68,9,1,13,2260.0
2021-03-09 14:00:00,2,68,9,1,14,2110.0
2021-03-09 15:00:00,2,68,9,1,15,1990.0
2021-03-09 16:00:00,2,68,9,1,16,1970.0
2021-03-09 17:00:00,2,68,9,1,17,1970.0
2021-03-09 18:00:00,2,68,9,1,18,2750.0
2021-03-09 19:00:00,2,68,9,1,19,2850.0
2021-03-09 20:00:00,2,68,9,1,20,2720.0
2021-03-09 21:00:00,2,68,9,1,21,2610.0
2021-03-09 22:00:00,2,68,9,1,22,2260.0
2021-03-09 23:00:00,2,68,9,1,23,2020.0
2021-03-10 00:00:00,2,69,10,2,0,1970.0
2021-03-10 01:00:00,2,69,10,2,1,2020.0
2021-03-10 02:00:00,2,69,10,2,2,1940.0
2021-03-10 03:00:00,2,69,10,2,3,1920.0
2021-03-10 04:00:00,2,69,10,2,4,1650.0
2021-03-10 05:00:00,2,69,10,2,5,1320.0
2021-03-10 06:00:00,2,69,10,2,6,1420.0
2021-03-10 07:00:00,2,69,10,2,7,1520.0
2021-03-10 08:00:00,2,69,10,2,8,1650.0
2021-03-10 09:00:00,2,69,10,2,9,1650.0
2021-03-10 10:00:00,2,69,10,2,10,2670.0
2021-03-10 11:00:00,2,69,10,2,11,2330.0
2021-03-10 12:00:00,2,69,10,2,12,2020.0
2021-03-10 13:00:00,2,69,10,2,13,1960.0
2021-03-10 14:00:00,2,69,10,2,14,1880.0
2021-03-10 15:00:00,2,69,10,2,15,1870.0
2021-03-10 16:00:00,2,69,10,2,16,2180.0
2021-03-10 17:00:00,2,69,10,2,17,1960.0
2021-03-10 18:00:00,2,69,10,2,18,2280.0
2021-03-10 19:00:00,2,69,10,2,19,2960.0
2021-03-10 20:00:00,2,69,10,2,20,3010.0
2021-03-10 21:00:00,2,69,10,2,21,2210.0
2021-03-10 22:00:00,2,69,10,2,22,1910.0
2021-03-10 23:00:00,2,69,10,2,23,1910.0
2021-03-11 00:00:00,2,70,11,3,0,2040.0
2021-03-11 01:00:00,2,70,11,3,1,1950.0
2021-03-11 02:00:00,2,70,11,3,2,1860.0
2021-03-11 03:00:00,2,70,11,3,3,1880.0
2021-03-11 04:00:00,2,70,11,3,4,1860.0
2021-03-11 05:00:00,2,70,11,3,5,1660.0
2021-03-11 06:00:00,2,70,11,3,6,2200.0
2021-03-11 07:00:00,2,70,11,3,7,2410.0
2021-03-11 08:00:00,2,70,11,3,8,2070.0
2021-03-11 09:00:00,2,70,11,3,9,1830.0
2021-03-11 10:00:00,2,70,11,3,10,1840.0
2021-03-11 11:00:00,2,70,11,3,11,1870.0
2021-03-11 12:00:00,2,70,11,3,12,1880.0
2021-03-11 13:00:00,2,70,11,3,13,1950.0
2021-03-11 14:00:00,2,70,11,3,14,1830.0
2021-03-11 15:00:00,2,70,11,3,15,1810.0
2021-03-11 16:00:00,2,70,11,3,16,1770.0
2021-03-11 17:00:00,2,70,11,3,17,1910.0
2021-03-11 18:00:00,2,70,11,3,18,2150.0
2021-03-11 19:00:00,2,70,11,3,19,2680.0
2021-03-11 20:00:00,2,70,11,3,20,2370.0
2021-03-11 21:00:00,2,70,11,3,21,2200.0
2021-03-11 22:00:00,2,70,11,3,22,1910.0
2021-03-11 23:00:00,2,70,11,3,23,1910.0
2021-03-12 00:00:00,2,71,12,4,0,1900.0
2021-03-12 01:00:00,2,71,12,4,1,1970.0
2021-03-12 02:00:00,2,71,12,4,2,1870.0
2021-03-12 03:00:00,2,71,12,4,3,1850.0
2021-03-12 04:00:00,2,71,12,4,4,1810.0
2021-03-12 05:00:00,2,71,12,4,5,1390.0
2021-03-12 06:00:00,2,71,12,4,6,1670.0
2021-03-12 07:00:00,2,71,12,4,7,1680.0
2021-03-12 08:00:00,2,71,12,4,8,1950.0
2021-03-12 09:00:00,2,71,12,4,9,2020.0
2021-03-12 10:00:00,2,71,12,4,10,1970.0
2021-03-12 11:00:00,2,71,12,4,11,1880.0
2021-03-12 12:00:00,2,71,12,4,12,1830.0
2021-03-12 13:00:00,2,71,12,4,13,2110.0
2021-03-12 14:00:00,2,71,12,4,14,1900.0
2021-03-12 15:00:00,2,71,12,4,15,1930.0
2021-03-12 16:00:00,2,71,12,4,16,1980.0
2021-03-12 17:00:00,2,71,12,4,17,2010.0
2021-03-12 18:00:00,2,71,12,4,18,2270.0
2021-03-12 19:00:00,2,71,12,4,19,2770.0
2021-03-12 20:00:00,2,71,12,4,20,2630.0
2021-03-12 21:00:00,2,71,12,4,21,2149.0
2021-03-12 22:00:00,2,71,12,4,22,1919.0
2021-03-12 23:00:00,2,71,12,4,23,1958.0
2021-03-13 00:00:00,2,72,13,5,0,1973.0
2021-03-13 01:00:00,2,72,13,5,1,2041.0
2021-03-13 02:00:00,2,72,13,5,2,1963.0
2021-03-13 03:00:00,2,72,13,5,3,1927.0
2021-03-13 04:00:00,2,72,13,5,4,1740.0
2021-03-13 05:00:00,2,72,13,5,5,1380.0
